model,run,loss_score,MAE,MSE,optimizer,loss,learning_rate,regularization,dropout,epochs,batch_size,model_type
atom2vec -> agl_thermal_conductivity_300K,test,3.1585250049829483,3.3381588459014893,51.85678482055664,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
atom2vec -> energy_atom,train,0.09384720243511233,0.2956467270851135,0.17853838205337524,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
atom2vec -> energy_atom,val,0.21765940241515636,0.5091080069541931,0.4605780243873596,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
atom2vec -> energy_atom,test,0.2279034181572925,0.5158746242523193,0.9558306932449341,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
oliynyk -> energy_atom,train,0.9554386725919086,1.3831347227096558,2.944544792175293,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net_v2
oliynyk -> energy_atom,val,0.9666560745239258,1.3936426639556885,3.0200135707855225,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net_v2
oliynyk -> energy_atom,test,0.9770649185125855,1.4050122499465942,3.519956350326538,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net_v2
atom2vec -> agl_log10_thermal_expansion_300K,train,0.004937105327652186,0.05191589146852493,0.005960396490991116,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
atom2vec -> agl_log10_thermal_expansion_300K,val,0.006773393290738265,0.06883230060338974,0.009725198149681091,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
atom2vec -> agl_log10_thermal_expansion_300K,test,0.006321468099486083,0.06654158979654312,0.008813850581645966,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
